keyword_norm,keyword_final_en,keyword_final_polish,keyword_semantic_id,semantic_actions,translation_method,semantic_confidence,review_flag,n
chronic fatigue,chronic fatigue,przewlekły fatigue,app_sem_0255,no_semantic_change,token_partial_review,medium,translation_review,1
chronic low backache,chronic low backache,przewlekły low backache,app_sem_0256,no_semantic_change,token_partial_review,medium,translation_review,1
chronic mentally ill persons,chronic mentally ill persons,przewlekły mentally ill persons,app_sem_0257,no_semantic_change,token_partial_review,medium,translation_review,1
chronic renal failure,chronic renal failure,przewlekły renal failure,app_sem_0259,no_semantic_change,token_partial_review,medium,translation_review,1
chronically mentally ill,chronically mentally ill,chronically mentally ill,app_sem_0263,no_semantic_change,untranslated_review,low,translation_review,1
citalopram,citalopram,citalopram,app_sem_0265,no_semantic_change,untranslated_review,low,translation_review,1
classification trees,classification trees,classification trees,app_sem_0267,no_semantic_change,untranslated_review,low,translation_review,1
client challenges,client challenges,client challenges,app_sem_0269,no_semantic_change,untranslated_review,low,translation_review,1
climate change,climate change,climate change,app_sem_0270,no_semantic_change,untranslated_review,low,translation_review,1
clinical factors,clinical factor,clinical czynnik,app_sem_0271,plural_to_concept:clinical factors->clinical factor,token_partial_review,medium,translation_review|semantic_merge_audit,1
clinical high risk,clinical high risk,clinical high ryzyko,app_sem_0272,no_semantic_change,token_partial_review,medium,translation_review,1
clinical intuition,clinical intuition,clinical intuition,app_sem_0273,no_semantic_change,untranslated_review,low,translation_review,1
clinical philosophy,clinical philosophy,clinical philosophy,app_sem_0275,no_semantic_change,untranslated_review,low,translation_review,1
clinical psychology,clinical psychology,clinical psychology,app_sem_0276,no_semantic_change,untranslated_review,low,translation_review,1
clinical trial,clinical trial,clinical trial,app_sem_0277,no_semantic_change,untranslated_review,low,translation_review,1
clinical utility,clinical utility,clinical utility,app_sem_0278,no_semantic_change,untranslated_review,low,translation_review,1
close relationships,close relationships,close relacje,app_sem_0279,no_semantic_change,token_partial_review,medium,translation_review,1
cluster a,cluster a,cluster a,app_sem_0281,no_semantic_change,untranslated_review,low,translation_review,1
cluster b,cluster b,cluster b,app_sem_0282,no_semantic_change,untranslated_review,low,translation_review,1
co-dependence,co-dependence,co-uzależnienie,app_sem_0283,no_semantic_change,token_partial_review,medium,translation_review,1
co-dependent mothers,co-dependent mothers,co-dependent mothers,app_sem_0284,no_semantic_change,untranslated_review,low,translation_review,1
co-morbidity,comorbidity,współchorobowość,app_sem_0325,exact_map:co-morbidity->comorbidity,glossary_exact,high,semantic_merge_audit,1
co2,co2,co2,app_sem_0285,no_semantic_change,untranslated_review,low,translation_review,1
code of ethics,code of ethics,code of ethics,app_sem_0286,no_semantic_change,untranslated_review,low,translation_review,1
codependency,codependency,codependency,app_sem_0287,no_semantic_change,untranslated_review,low,translation_review,1
cognitive appraisal,cognitive appraisal,poznawczy appraisal,app_sem_0290,no_semantic_change,token_partial_review,medium,translation_review,1
cognitive approach,cognitive approach,poznawczy approach,app_sem_0291,no_semantic_change,token_partial_review,medium,translation_review,1
cognitive behaviour therapy,cognitive behavioral therapy,terapia poznawczo-behawioralna,app_sem_0292,exact_map:cognitive behaviour therapy->cognitive behavioral therapy,glossary_exact,high,semantic_merge_audit,1
cognitive behavioural therapy,cognitive behavioral therapy,terapia poznawczo-behawioralna,app_sem_0292,exact_map:cognitive behavioural therapy->cognitive behavioral therapy,glossary_exact,high,semantic_merge_audit,1
cognitive biases,cognitive biases,poznawczy biases,app_sem_0293,no_semantic_change,token_partial_review,medium,translation_review,1
cognitive deficits,cognitive deficits,poznawczy deficits,app_sem_0295,no_semantic_change,token_partial_review,medium,translation_review,1
cognitive dysmetria,cognitive dysmetria,poznawczy dysmetria,app_sem_0297,no_semantic_change,token_partial_review,medium,translation_review,1
cognitive error rating scale,cognitive error rating scale,poznawczy error rating skala,app_sem_0298,no_semantic_change,token_partial_review,medium,translation_review,1
cognitive flexibility,cognitive flexibility,poznawczy flexibility,app_sem_0300,no_semantic_change,token_partial_review,medium,translation_review,1
cognitive functioning,cognitive functioning,cognitive functioning,app_sem_0302,no_semantic_change,untranslated_review,low,translation_review,1
cognitive impairment in aud,cognitive impairment in aud,poznawczy impairment in aud,app_sem_0303,no_semantic_change,token_partial_review,medium,translation_review,1
cognitive impairments,cognitive impairments,poznawczy impairments,app_sem_0304,no_semantic_change,token_partial_review,medium,translation_review,1
cognitive inhibition,cognitive inhibition,poznawczy inhibition,app_sem_0305,no_semantic_change,token_partial_review,medium,translation_review,1
cognitive processing of trauma,cognitive processing of trauma,poznawczy processing of trauma,app_sem_0306,no_semantic_change,token_partial_review,medium,translation_review,1
cognitive processing therapy,cognitive processing therapy,poznawczy processing terapia,app_sem_0307,no_semantic_change,token_partial_review,medium,translation_review,1
cognitive restraint,cognitive restraint,poznawczy restraint,app_sem_0309,no_semantic_change,token_partial_review,medium,translation_review,1
cognitive restructuring,cognitive restructuring,poznawczy restructuring,app_sem_0310,no_semantic_change,token_partial_review,medium,translation_review,1
cognitive rigidity,cognitive rigidity,poznawczy rigidity,app_sem_0311,no_semantic_change,token_partial_review,medium,translation_review,1
cognitive trauma processing,cognitive trauma processing,poznawczy trauma processing,app_sem_0312,no_semantic_change,token_partial_review,medium,translation_review,1
cognitive triad,cognitive triad,poznawczy triad,app_sem_0313,no_semantic_change,token_partial_review,medium,translation_review,1
coherence,coherence,coherence,app_sem_0314,no_semantic_change,untranslated_review,low,translation_review,1
collective memory,collective memory,collective memory,app_sem_0315,no_semantic_change,untranslated_review,low,translation_review,1
common factors,common factor,common czynnik,app_sem_0316,plural_to_concept:common factors->common factor,token_partial_review,medium,translation_review|semantic_merge_audit,1
communication,communication,communication,app_sem_0317,no_semantic_change,untranslated_review,low,translation_review,1
communication competences,communication competences,communication competences,app_sem_0318,no_semantic_change,untranslated_review,low,translation_review,1
community,community,community,app_sem_0319,no_semantic_change,untranslated_review,low,translation_review,1
community care,community care,community care,app_sem_0320,no_semantic_change,untranslated_review,low,translation_review,1
community mental health services,community mental health services,community mental health services,app_sem_0321,no_semantic_change,untranslated_review,low,translation_review,1
community social support,community social support,community social support,app_sem_0323,no_semantic_change,untranslated_review,low,translation_review,1
community treatment programme,community treatment programme,community leczenie programme,app_sem_0324,no_semantic_change,token_partial_review,medium,translation_review,1
comparative studies,comparative studies,comparative studies,app_sem_0326,no_semantic_change,untranslated_review,low,translation_review,1
compassion,compassion,compassion,app_sem_0327,no_semantic_change,untranslated_review,low,translation_review,1
compassion for others,compassion for others,compassion for others,app_sem_0328,no_semantic_change,untranslated_review,low,translation_review,1
competence,competence,competence,app_sem_0329,no_semantic_change,untranslated_review,low,translation_review,1
complex post-traumatic states,complex post-traumatic states,complex post-traumatyczny states,app_sem_0330,no_semantic_change,token_partial_review,medium,translation_review,1
complex posttraumatic states,complex post-traumatic states,complex post-traumatyczny states,app_sem_0330,exact_map:complex posttraumatic states->complex post-traumatic states,token_partial_review,medium,translation_review|semantic_merge_audit,1
complex-ptsd,complex-ptsd,complex-ptsd,app_sem_0331,no_semantic_change,untranslated_review,low,translation_review,1
compulsive sexual behavior disorders,compulsive sexual behavior disorder,compulsive seksualny behavior zaburzenie,app_sem_0333,plural_to_concept:compulsive sexual behavior disorders->compulsive sexual behavior disorder,token_partial_review,medium,translation_review|semantic_merge_audit,1
compulsory treatment/compulsory order,compulsory treatment/compulsory order,compulsory leczenie/compulsory order,app_sem_0334,no_semantic_change,token_partial_review,medium,translation_review,1
computer,computer,computer,app_sem_0335,no_semantic_change,untranslated_review,low,translation_review,1
concentration,concentration,concentration,app_sem_0337,no_semantic_change,untranslated_review,low,translation_review,1
conditional release,conditional release,conditional release,app_sem_0338,no_semantic_change,untranslated_review,low,translation_review,1
conduct disorder,conduct disorder,conduct zaburzenie,app_sem_0339,no_semantic_change,token_partial_review,medium,translation_review,1
confirmatory factor analysis,confirmatory factor analysis,confirmatory czynnik analysis,app_sem_0340,no_semantic_change,token_partial_review,medium,translation_review,1
connective tissue diseases,connective tissue diseases,connective tissue diseases,app_sem_0342,no_semantic_change,untranslated_review,low,translation_review,1
conners scale,conners scale,conners skala,app_sem_0343,no_semantic_change,token_partial_review,medium,translation_review,1
consent capacity,consent capacity,consent capacity,app_sem_0344,no_semantic_change,untranslated_review,low,translation_review,1
contact centre,contact centre,contact centre,app_sem_0345,no_semantic_change,untranslated_review,low,translation_review,1
contact with the patient,contact with the patient,contact with the patient,app_sem_0346,no_semantic_change,untranslated_review,low,translation_review,1
containment measures,containment measures,containment measures,app_sem_0347,no_semantic_change,untranslated_review,low,translation_review,1
context and motivation to the treatment,context and motivation to the treatment,context and motivation to the leczenie,app_sem_0348,no_semantic_change,token_partial_review,medium,translation_review,1
control,control,control,app_sem_0349,no_semantic_change,untranslated_review,low,translation_review,1
conversational artificial intelligence,conversational artificial intelligence,conversational artificial intelligence,app_sem_0350,no_semantic_change,untranslated_review,low,translation_review,1
convicted sexual offenders,convicted sexual offenders,convicted seksualny offenders,app_sem_0351,no_semantic_change,token_partial_review,medium,translation_review,1
coping methods,coping methods,radzenie sobie methods,app_sem_0353,no_semantic_change,token_partial_review,medium,translation_review,1
coping pathophysiology,coping pathophysiology,radzenie sobie pathophysiology,app_sem_0354,no_semantic_change,token_partial_review,medium,translation_review,1
coping patterns,coping patterns,radzenie sobie patterns,app_sem_0355,no_semantic_change,token_partial_review,medium,translation_review,1
